crim,medv,age,dis,nox,rm
0.00632,24,65.2,4.09,0.538,6.575
0.02731,21.6,78.9,4.9671,0.469,6.421
0.02729,34.7,61.1,4.9671,0.469,7.185
0.03237,33.4,45.8,6.0622,0.458,6.998
0.06905,36.2,54.2,6.0622,0.458,7.147
0.02985,28.7,58.7,6.0622,0.458,6.43
0.08829,22.9,66.6,5.5605,0.524,6.012
0.14455,27.1,96.1,5.9505,0.524,6.172
0.21124,16.5,100,6.0821,0.524,5.631
0.17004,18.9,85.9,6.5921,0.524,6.004
0.22489,15,94.3,6.3467,0.524,6.377
0.11747,18.9,82.9,6.2267,0.524,6.009
0.09378,21.7,39,5.4509,0.524,5.889
0.62976,20.4,61.8,4.7075,0.538,5.949
0.63796,18.2,84.5,4.4619,0.538,6.096
0.62739,19.9,56.5,4.4986,0.538,5.834
1.05393,23.1,29.3,4.4986,0.538,5.935
0.7842,17.5,81.7,4.2579,0.538,5.99
0.80271,20.2,36.6,3.7965,0.538,5.456
0.7258,18.2,69.5,3.7965,0.538,5.727
1.25179,13.6,98.1,3.7979,0.538,5.57
0.85204,19.6,89.2,4.0123,0.538,5.965
1.23247,15.2,91.7,3.9769,0.538,6.142
0.98843,14.5,100,4.0952,0.538,5.813
0.75026,15.6,94.1,4.3996,0.538,5.924
0.84054,13.9,85.7,4.4546,0.538,5.599
0.67191,16.6,90.3,4.682,0.538,5.813
0.95577,14.8,88.8,4.4534,0.538,6.047
0.77299,18.4,94.4,4.4547,0.538,6.495
1.00245,21,87.3,4.239,0.538,6.674
1.13081,12.7,94.1,4.233,0.538,5.713
1.35472,14.5,100,4.175,0.538,6.072
1.38799,13.2,82,3.99,0.538,5.95
1.15172,13.1,95,3.7872,0.538,5.701
1.61282,13.5,96.9,3.7598,0.538,6.096
0.06417,18.9,68.2,3.3603,0.499,5.933
0.09744,20,61.4,3.3779,0.499,5.841
0.08014,21,41.5,3.9342,0.499,5.85
0.17505,24.7,30.2,3.8473,0.499,5.966
0.02763,30.8,21.8,5.4011,0.428,6.595
0.03359,34.9,15.8,5.4011,0.428,7.024
0.12744,26.6,2.9,5.7209,0.448,6.77
0.1415,25.3,6.6,5.7209,0.448,6.169
0.15936,24.7,6.5,5.7209,0.448,6.211
0.12269,21.2,40,5.7209,0.448,6.069
0.17142,19.3,33.8,5.1004,0.448,5.682
0.18836,20,33.3,5.1004,0.448,5.786
0.22927,16.6,85.5,5.6894,0.448,6.03
0.25387,14.4,95.3,5.87,0.448,5.399
0.21977,19.4,62,6.0877,0.448,5.602
0.08873,19.7,45.7,6.8147,0.439,5.963
0.04337,20.5,63,6.8147,0.439,6.115
0.0536,25,21.1,6.8147,0.439,6.511
0.04981,23.4,21.4,6.8147,0.439,5.998
0.0136,18.9,47.6,7.3197,0.41,5.888
0.01311,35.4,21.9,8.6966,0.403,7.249
0.02055,24.7,35.7,9.1876,0.41,6.383
0.01432,31.6,40.5,8.3248,0.411,6.816
0.15445,23.3,29.2,7.8148,0.453,6.145
0.10328,19.6,47.2,6.932,0.453,5.927
0.14932,18.7,66.2,7.2254,0.453,5.741
0.17171,16,93.4,6.8185,0.453,5.966
0.11027,22.2,67.8,7.2255,0.453,6.456
0.1265,25,43.4,7.9809,0.453,6.762
0.01951,33,59.5,9.2229,0.4161,7.104
0.03584,23.5,17.8,6.6115,0.398,6.29
0.04379,19.4,31.1,6.6115,0.398,5.787
0.05789,22,21.4,6.498,0.409,5.878
0.13554,17.4,36.8,6.498,0.409,5.594
0.12816,20.9,33,6.498,0.409,5.885
0.08826,24.2,6.6,5.2873,0.413,6.417
0.15876,21.7,17.5,5.2873,0.413,5.961
0.09164,22.8,7.8,5.2873,0.413,6.065
0.19539,23.4,6.2,5.2873,0.413,6.245
0.07896,24.1,6,4.2515,0.437,6.273
0.09512,21.4,45,4.5026,0.437,6.286
0.10153,20,74.5,4.0522,0.437,6.279
0.08707,20.8,45.8,4.0905,0.437,6.14
0.05646,21.2,53.7,5.0141,0.437,6.232
0.08387,20.3,36.6,4.5026,0.437,5.874
0.04113,28,33.5,5.4007,0.426,6.727
0.04462,23.9,70.4,5.4007,0.426,6.619
0.03659,24.8,32.2,5.4007,0.426,6.302
0.03551,22.9,46.7,5.4007,0.426,6.167
0.05059,23.9,48,4.7794,0.449,6.389
0.05735,26.6,56.1,4.4377,0.449,6.63
0.05188,22.5,45.1,4.4272,0.449,6.015
0.07151,22.2,56.8,3.7476,0.449,6.121
0.0566,23.6,86.3,3.4217,0.489,7.007
0.05302,28.7,63.1,3.4145,0.489,7.079
0.04684,22.6,66.1,3.0923,0.489,6.417
0.03932,22,73.9,3.0921,0.489,6.405
0.04203,22.9,53.6,3.6659,0.464,6.442
0.02875,25,28.9,3.6659,0.464,6.211
0.04294,20.6,77.3,3.615,0.464,6.249
0.12204,28.4,57.8,3.4952,0.445,6.625
0.11504,21.4,69.6,3.4952,0.445,6.163
0.12083,38.7,76,3.4952,0.445,8.069
0.08187,43.8,36.9,3.4952,0.445,7.82
0.0686,33.2,62.5,3.4952,0.445,7.416
0.14866,27.5,79.9,2.7778,0.52,6.727
0.11432,26.5,71.3,2.8561,0.52,6.781
0.22876,18.6,85.4,2.7147,0.52,6.405
0.21161,19.3,87.4,2.7147,0.52,6.137
0.1396,20.1,90,2.421,0.52,6.167
0.13262,19.5,96.7,2.1069,0.52,5.851
0.1712,19.5,91.9,2.211,0.52,5.836
0.13117,20.4,85.2,2.1224,0.52,6.127
0.12802,19.8,97.1,2.4329,0.52,6.474
0.26363,19.4,91.2,2.5451,0.52,6.229
0.10793,21.7,54.4,2.7778,0.52,6.195
0.10084,22.8,81.6,2.6775,0.547,6.715
0.12329,18.8,92.9,2.3534,0.547,5.913
0.22212,18.7,95.4,2.548,0.547,6.092
0.14231,18.5,84.2,2.2565,0.547,6.254
0.17134,18.3,88.2,2.4631,0.547,5.928
0.13158,21.2,72.5,2.7301,0.547,6.176
0.15098,19.2,82.6,2.7474,0.547,6.021
0.13058,20.4,73.1,2.4775,0.547,5.872
0.14476,19.3,65.2,2.7592,0.547,5.731
0.06899,22,69.7,2.2577,0.581,5.87
0.07165,20.3,84.1,2.1974,0.581,6.004
0.09299,20.5,92.9,2.0869,0.581,5.961
0.15038,17.3,97,1.9444,0.581,5.856
0.09849,18.8,95.8,2.0063,0.581,5.879
0.16902,21.4,88.4,1.9929,0.581,5.986
0.38735,15.7,95.6,1.7572,0.581,5.613
0.25915,16.2,96,1.7883,0.624,5.693
0.32543,18,98.8,1.8125,0.624,6.431
0.88125,14.3,94.7,1.9799,0.624,5.637
0.34006,19.2,98.9,2.1185,0.624,6.458
1.19294,19.6,97.7,2.271,0.624,6.326
0.59005,23,97.9,2.3274,0.624,6.372
0.32982,18.4,95.4,2.4699,0.624,5.822
0.97617,15.6,98.4,2.346,0.624,5.757
